Digi-key Part Number,Description,Unit Price
102-PEP1-S5-D9-M-ND,DC DC CONVERTER +/-9V 1W,4.83
102-PEP1-S5-S5-M-ND,DC DC CONVERTER 5V 1W,4.66
LM317MADTRKGOSCT-ND,IC REG LINEAR POS ADJ 500MA DPAK,0.96
RMCF0805FT100KCT-ND,RES 100K OHM 1% 1/8W 0805,0.027
311-75.0CRCT-ND,RES SMD 75 OHM 1% 1/8W 0805,0.042
P110DACT-ND,RES 110 OHM 0.1% 1/8W 0805,0.31
311-10.0KCRCT-ND,RES SMD 10K OHM 1% 1/8W 0805,0.042
311-3427-1-ND,CAP CER 1UF 16V X5R 0805,0.13
478-10836-1-ND,CAP CER 0.1UF 50V X7R 0805,0.076
296-26057-1-ND,Texas Instruments IC INST AMP 1 CIRCUIT 8SOIC,9.36
732-4980-1-ND,LED GREEN CLEAR 0603 SMD,0.15
TSM240N03CX RFG,MOSFET N-CHANNEL 30V 6.5A SOT23,0.94